Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109.0,Brooklyn Nets,116.0,Barclays Center
"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109.0,Toronto Raptors,139.0,Scotiabank Arena
"Mon, Oct 31, 2022",8:00p,Detroit Pistons,108.0,Milwaukee Bucks,110.0,Fiserv Forum
"Mon, Oct 31, 2022",9:00p,Memphis Grizzlies,105.0,Utah Jazz,121.0,Vivint Arena
"Mon, Oct 31, 2022",10:30p,Houston Rockets,93.0,Los Angeles Clippers,95.0,Crypto.com Arena
"Tue, Nov 1, 2022",7:30p,Chicago Bulls,108.0,Brooklyn Nets,99.0,Barclays Center
"Tue, Nov 1, 2022",7:30p,Golden State Warriors,109.0,Miami Heat,116.0,FTX Arena
"Tue, Nov 1, 2022",8:00p,Orlando Magic,108.0,Oklahoma City Thunder,116.0,Paycom Center
"Tue, Nov 1, 2022",10:00p,Minnesota Timberwolves,107.0,Phoenix Suns,116.0,Footprint Center
"Wed, Nov 2, 2022",6:00p,Washington Wizards,121.0,Philadelphia 76ers,111.0,Wells Fargo Center
"Wed, Nov 2, 2022",7:30p,Boston Celtics,113.0,Cleveland Cavaliers,114.0,Rocket Mortgage Fieldhouse
"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107.0,Miami Heat,110.0,FTX Arena
"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112.0,New York Knicks,99.0,Madison Square Garden (IV)
"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88.0,Chicago Bulls,106.0,United Center
"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109.0,Houston Rockets,101.0,Toyota Center
"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91.0,Milwaukee Bucks,116.0,Fiserv Forum
"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143.0,San Antonio Spurs,100.0,AT&T Center
"Wed, Nov 2, 2022",8:30p,Utah Jazz,100.0,Dallas Mavericks,103.0,American Airlines Center
"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111.0,Portland Trail Blazers,106.0,Moda Center
"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117.0,Los Angeles Lakers,120.0,Crypto.com Arena
"Thu, Nov 3, 2022",7:00p,Golden State Warriors,129.0,Orlando Magic,130.0,Amway Center
"Thu, Nov 3, 2022",8:00p,Denver Nuggets,122.0,Oklahoma City Thunder,110.0,Paycom Center
"Fri, Nov 4, 2022",7:00p,Cleveland Cavaliers,112.0,Detroit Pistons,88.0,Little Caesars Arena
"Fri, Nov 4, 2022",7:00p,Miami Heat,99.0,Indiana Pacers,101.0,Gainbridge Fieldhouse
"Fri, Nov 4, 2022",7:00p,New York Knicks,106.0,Philadelphia 76ers,104.0,Wells Fargo Center
"Fri, Nov 4, 2022",7:00p,Brooklyn Nets,128.0,Washington Wizards,86.0,Capital One Arena
"Fri, Nov 4, 2022",7:30p,Chicago Bulls,119.0,Boston Celtics,123.0,TD Garden
"Fri, Nov 4, 2022",8:00p,Charlotte Hornets,99.0,Memphis Grizzlies,130.0,FedEx Forum
"Fri, Nov 4, 2022",8:00p,Los Angeles Clippers,113.0,San Antonio Spurs,106.0,AT&T Center
"Fri, Nov 4, 2022",8:30p,Toronto Raptors,110.0,Dallas Mavericks,111.0,American Airlines Center
"Fri, Nov 4, 2022",8:30p,Golden State Warriors,105.0,New Orleans Pelicans,114.0,Smoothie King Center
"Fri, Nov 4, 2022",10:00p,Milwaukee Bucks,115.0,Minnesota Timberwolves,102.0,Target Center
"Fri, Nov 4, 2022",10:00p,Portland Trail Blazers,108.0,Phoenix Suns,106.0,Footprint Center
"Fri, Nov 4, 2022",10:30p,Utah Jazz,130.0,Los Angeles Lakers,116.0,Crypto.com Arena
"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126.0,Orlando Magic,123.0,Amway Center
"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98.0,Charlotte Hornets,94.0,Spectrum Center
"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121.0,Atlanta Hawks,124.0,State Farm Arena
"Sat, Nov 5, 2022",7:30p,Boston Celtics,133.0,New York Knicks,118.0,Madison Square Garden (IV)
"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94.0,Milwaukee Bucks,108.0,Fiserv Forum
"Sat, Nov 5, 2022",8:00p,Houston Rockets,117.0,Minnesota Timberwolves,129.0,Target Center
"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101.0,Denver Nuggets,126.0,Ball Arena
"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82.0,Phoenix Suns,102.0,Footprint Center
"Sun, Nov 6, 2022",3:30p,Cleveland Cavaliers,114.0,Los Angeles Lakers,100.0,Crypto.com Arena
"Sun, Nov 6, 2022",6:00p,Washington Wizards,97.0,Memphis Grizzlies,103.0,FedEx Forum
"Sun, Nov 6, 2022",6:00p,Chicago Bulls,104.0,Toronto Raptors,113.0,Scotiabank Arena
"Sun, Nov 6, 2022",10:00p,Utah Jazz,110.0,Los Angeles Clippers,102.0,Crypto.com Arena
"Mon, Nov 7, 2022",7:00p,Washington Wizards,108.0,Charlotte Hornets,100.0,Spectrum Center
"Mon, Nov 7, 2022",7:15p,Houston Rockets,134.0,Orlando Magic,127.0,Amway Center
"Mon, Nov 7, 2022",7:30p,Oklahoma City Thunder,103.0,Detroit Pistons,112.0,Little Caesars Arena
"Mon, Nov 7, 2022",7:45p,New Orleans Pelicans,122.0,Indiana Pacers,129.0,Gainbridge Fieldhouse
"Mon, Nov 7, 2022",8:00p,Phoenix Suns,88.0,Philadelphia 76ers,100.0,Wells Fargo Center
"Mon, Nov 7, 2022",8:15p,Milwaukee Bucks,98.0,Atlanta Hawks,117.0,State Farm Arena
"Mon, Nov 7, 2022",8:30p,Portland Trail Blazers,110.0,Miami Heat,107.0,FTX Arena
"Mon, Nov 7, 2022",8:45p,Toronto Raptors,97.0,Chicago Bulls,111.0,United Center
"Mon, Nov 7, 2022",9:00p,Boston Celtics,109.0,Memphis Grizzlies,106.0,FedEx Forum
"Mon, Nov 7, 2022",9:15p,New York Knicks,120.0,Minnesota Timberwolves,107.0,Target Center
"Mon, Nov 7, 2022",9:30p,Denver Nuggets,115.0,San Antonio Spurs,109.0,AT&T Center
"Mon, Nov 7, 2022",9:45p,Brooklyn Nets,94.0,Dallas Mavericks,96.0,American Airlines Center
"Mon, Nov 7, 2022",10:00p,Sacramento Kings,113.0,Golden State Warriors,116.0,Chase Center
"Mon, Nov 7, 2022",10:15p,Los Angeles Lakers,116.0,Utah Jazz,139.0,Vivint Arena
"Mon, Nov 7, 2022",10:30p,Cleveland Cavaliers,117.0,Los Angeles Clippers,119.0,Crypto.com Arena
"Wed, Nov 9, 2022",5:30p,Dallas Mavericks,87.0,Orlando Magic,94.0,Amway Center
"Wed, Nov 9, 2022",7:00p,Portland Trail Blazers,105.0,Charlotte Hornets,95.0,Spectrum Center
"Wed, Nov 9, 2022",7:00p,Denver Nuggets,122.0,Indiana Pacers,119.0,Gainbridge Fieldhouse
"Wed, Nov 9, 2022",7:30p,Utah Jazz,125.0,Atlanta Hawks,119.0,State Farm Arena
"Wed, Nov 9, 2022",7:30p,Detroit Pistons,112.0,Boston Celtics,128.0,TD Garden
"Wed, Nov 9, 2022",7:30p,New York Knicks,85.0,Brooklyn Nets,112.0,Barclays Center
"Wed, Nov 9, 2022",7:30p,Houston Rockets,109.0,Toronto Raptors,116.0,Scotiabank Arena
"Wed, Nov 9, 2022",8:00p,New Orleans Pelicans,115.0,Chicago Bulls,111.0,United Center
"Wed, Nov 9, 2022",8:00p,Phoenix Suns,129.0,Minnesota Timberwolves,117.0,Target Center
"Wed, Nov 9, 2022",8:00p,Milwaukee Bucks,136.0,Oklahoma City Thunder,132.0,Paycom Center
"Wed, Nov 9, 2022",8:00p,Memphis Grizzlies,124.0,San Antonio Spurs,122.0,AT&T Center
"Wed, Nov 9, 2022",10:00p,Los Angeles Lakers,101.0,Los Angeles Clippers,114.0,Crypto.com Arena
"Wed, Nov 9, 2022",10:00p,Cleveland Cavaliers,120.0,Sacramento Kings,127.0,Golden 1 Center
"Thu, Nov 10, 2022",7:00p,Dallas Mavericks,105.0,Washington Wizards,113.0,Capital One Arena
"Thu, Nov 10, 2022",7:30p,Philadelphia 76ers,95.0,Atlanta Hawks,104.0,State Farm Arena
"Thu, Nov 10, 2022",7:30p,Charlotte Hornets,112.0,Miami Heat,117.0,FTX Arena
"Thu, Nov 10, 2022",8:00p,Portland Trail Blazers,106.0,New Orleans Pelicans,95.0,Smoothie King Center
"Fri, Nov 11, 2022",7:00p,Denver Nuggets,112.0,Boston Celtics,131.0,TD Garden
"Fri, Nov 11, 2022",7:00p,Phoenix Suns,97.0,Orlando Magic,114.0,Amway Center
"Fri, Nov 11, 2022",7:30p,Detroit Pistons,112.0,New York Knicks,121.0,Madison Square Garden (IV)
"Fri, Nov 11, 2022",8:00p,Toronto Raptors,113.0,Oklahoma City Thunder,132.0,Paycom Center
"Fri, Nov 11, 2022",8:00p,Milwaukee Bucks,93.0,San Antonio Spurs,111.0,AT&T Center
"Fri, Nov 11, 2022",9:30p,Minnesota Timberwolves,103.0,Memphis Grizzlies,114.0,FedEx Forum
"Fri, Nov 11, 2022",10:00p,Cleveland Cavaliers,101.0,Golden State Warriors,106.0,Chase Center
"Fri, Nov 11, 2022",10:30p,Sacramento Kings,120.0,Los Angeles Lakers,114.0,Crypto.com Arena
"Sat, Nov 12, 2022",4:00p,Brooklyn Nets,110.0,Los Angeles Clippers,95.0,Crypto.com Arena
"Sat, Nov 12, 2022",6:00p,Utah Jazz,112.0,Washington Wizards,121.0,Capital One Arena
"Sat, Nov 12, 2022",7:00p,Boston Celtics,117.0,Detroit Pistons,108.0,Little Caesars Arena
"Sat, Nov 12, 2022",7:00p,Toronto Raptors,104.0,Indiana Pacers,118.0,Gainbridge Fieldhouse
"Sat, Nov 12, 2022",7:30p,Atlanta Hawks,109.0,Philadelphia 76ers,121.0,Wells Fargo Center
"Sat, Nov 12, 2022",8:00p,Charlotte Hornets,115.0,Miami Heat,132.0,FTX Arena
"Sat, Nov 12, 2022",8:30p,Portland Trail Blazers,112.0,Dallas Mavericks,117.0,American Airlines Center
"Sat, Nov 12, 2022",8:30p,Houston Rockets,106.0,New Orleans Pelicans,119.0,Smoothie King Center
"Sun, Nov 13, 2022",12:00p,Oklahoma City Thunder,145.0,New York Knicks,135.0,Madison Square Garden (IV)
"Sun, Nov 13, 2022",6:00p,Minnesota Timberwolves,129.0,Cleveland Cavaliers,124.0,Rocket Mortgage Fieldhouse
