Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Denver Nuggets,240,39,85,0.459,17,37,0.459,22,34,0.647,17,41,58,18,2,4,12,18,117,
New Orleans Pelicans,240,38,86,0.442,15,37,0.405,20,22,0.909,9,24,33,25,10,1,13,21,111,
Phoenix Suns,240,48,92,0.522,10,33,0.303,18,20,0.9,14,33,47,33,7,7,12,18,124,
Houston Rockets,240,40,94,0.426,14,38,0.368,17,21,0.81,13,26,39,23,10,6,15,18,111,
Portland Trail Blazers,240,48,90,0.533,13,35,0.371,16,20,0.8,11,34,45,30,9,6,15,19,125,
Miami Heat,240,38,89,0.427,11,28,0.393,26,31,0.839,9,25,34,18,7,3,8,25,113,
Sacramento Kings,240,42,76,0.553,14,31,0.452,21,29,0.724,6,37,43,27,1,6,20,29,119,
Golden State Warriors,265,44,100,0.44,13,44,0.295,12,16,0.75,10,39,49,31,8,6,10,31,113,
Charlotte Hornets,265,43,102,0.422,10,31,0.323,24,31,0.774,15,40,55,32,2,2,10,14,120,
Indiana Pacers,240,40,94,0.426,23,46,0.5,22,26,0.846,17,36,53,31,7,1,10,25,125,
Brooklyn Nets,240,41,82,0.5,14,39,0.359,20,26,0.769,6,28,34,29,6,9,9,20,116,
Philadelphia 76ers,240,39,79,0.494,14,29,0.483,22,27,0.815,8,33,41,28,8,6,17,22,114,
Chicago Bulls,240,36,80,0.45,11,31,0.355,26,29,0.897,9,31,40,22,7,3,18,20,109,
Atlanta Hawks,240,45,94,0.479,13,29,0.448,12,15,0.8,12,30,42,19,5,2,12,23,115,
Milwaukee Bucks,240,45,92,0.489,14,36,0.389,19,29,0.655,14,35,49,24,8,5,11,18,123,
Oklahoma City Thunder,265,44,89,0.494,5,25,0.2,24,31,0.774,9,38,47,25,9,6,15,29,117,
Dallas Mavericks,265,38,95,0.4,8,40,0.2,27,34,0.794,12,37,49,17,8,5,16,30,111,
Memphis Grizzlies,240,50,88,0.568,12,27,0.444,11,15,0.733,10,30,40,24,11,5,20,26,123,
Utah Jazz,240,45,87,0.517,19,44,0.432,15,20,0.75,10,24,34,30,8,6,19,17,124,
New Orleans Pelicans,240,46,93,0.495,15,36,0.417,5,8,0.625,12,38,50,32,9,1,10,15,112,
Los Angeles Clippers,240,36,86,0.419,11,39,0.282,8,13,0.615,8,31,39,24,3,6,14,15,91,
Washington Wizards,240,38,98,0.388,7,32,0.219,11,16,0.688,15,36,51,22,5,6,8,20,94,
Boston Celtics,240,36,79,0.456,21,47,0.447,19,20,0.95,4,43,47,29,4,5,13,15,112,
New York Knicks,240,45,92,0.489,10,27,0.37,8,16,0.5,12,33,45,26,9,2,14,25,108,
Cleveland Cavaliers,240,41,89,0.461,23,50,0.46,16,19,0.842,10,33,43,33,3,5,14,22,121,
Golden State Warriors,240,39,92,0.424,12,39,0.308,24,25,0.96,13,29,42,23,8,4,14,24,114,
Detroit Pistons,240,40,83,0.482,14,33,0.424,34,38,0.895,12,35,47,24,4,3,15,25,128,
Minnesota Timberwolves,240,40,99,0.404,4,29,0.138,14,20,0.7,16,29,45,21,11,7,11,23,98,
San Antonio Spurs,240,36,86,0.419,16,40,0.4,19,25,0.76,14,38,52,27,6,7,19,21,107,
Orlando Magic,240,37,81,0.457,11,29,0.379,20,27,0.741,11,36,47,20,2,5,12,23,105,
Dallas Mavericks,240,41,83,0.494,11,35,0.314,21,28,0.75,5,32,37,15,10,1,4,22,114,
Houston Rockets,240,38,87,0.437,11,34,0.324,22,26,0.846,17,32,49,18,7,1,15,25,109,
Phoenix Suns,240,45,84,0.536,12,40,0.3,22,30,0.733,10,26,36,29,9,8,11,22,124,
Denver Nuggets,240,41,96,0.427,15,40,0.375,13,18,0.722,13,35,48,24,3,8,9,15,110,
Los Angeles Lakers,240,46,96,0.479,13,30,0.433,16,20,0.8,13,38,51,24,5,5,8,17,121,
Sacramento Kings,240,37,85,0.435,17,44,0.386,24,28,0.857,10,32,42,26,8,4,19,19,115,
Charlotte Hornets,240,43,84,0.512,14,29,0.483,8,14,0.571,6,32,38,31,11,6,20,26,108,
Philadelphia 76ers,240,46,83,0.554,12,30,0.4,14,20,0.7,4,33,37,26,14,3,13,20,118,
Washington Wizards,240,38,81,0.469,10,25,0.4,25,26,0.962,9,32,41,22,8,4,15,18,111,
Indiana Pacers,240,41,87,0.471,11,39,0.282,16,23,0.696,10,28,38,23,11,5,24,24,109,
Brooklyn Nets,240,43,80,0.538,11,30,0.367,19,20,0.95,6,33,39,26,11,9,19,18,116,
Atlanta Hawks,240,39,84,0.464,11,29,0.379,20,25,0.8,7,30,37,28,1,4,18,27,109,
Toronto Raptors,240,46,92,0.5,14,34,0.412,33,40,0.825,12,32,44,25,13,9,6,22,139,
Detroit Pistons,240,41,92,0.446,8,29,0.276,18,21,0.857,13,30,43,19,9,3,12,24,108,
Milwaukee Bucks,240,38,87,0.437,11,40,0.275,23,29,0.793,14,36,50,20,5,5,16,21,110,
Memphis Grizzlies,240,38,92,0.413,6,26,0.231,23,42,0.548,18,34,52,14,8,4,16,17,105,
Utah Jazz,240,42,89,0.472,19,47,0.404,18,22,0.818,11,37,48,26,10,6,15,30,121,
Houston Rockets,240,34,88,0.386,8,28,0.286,17,23,0.739,7,37,44,17,9,8,13,16,93,
Los Angeles Clippers,240,37,87,0.425,9,36,0.25,12,17,0.706,8,38,46,23,7,10,13,18,95,
