Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,HomeTeamWon,Elo,Elo_home,Elo_away
23,23,23,23,23,23,"Fri, Oct 21, 2022",Memphis Grizzlies,240,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129,Houston Rockets,240,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,1,-0.0804899178603678,0.0804899178603677,0.3939393939393939,0.53125,0.5591397849462365,0.5561224489795918,0.6124497991967872,0.6179344702050201,0,1500,1496.5,1503.5
24,24,24,24,24,24,"Fri, Oct 21, 2022",Utah Jazz,265,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,132,Minnesota Timberwolves,265,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,1,-0.0671141958585369,0.067114195858537,0.6,0.4871794871794871,0.5093457943925234,0.5315315315315315,0.5621988220596109,0.5708354955889984,0,1500,1496.5,1503.5
25,25,25,25,25,25,"Fri, Oct 21, 2022",Denver Nuggets,240,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128,Golden State Warriors,240,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,18,23,123,1,-0.0574854946607601,0.0574854946607602,0.2413793103448276,0.4285714285714285,0.5625,0.622093023255814,0.6546731956568023,0.6994535519125683,0,1500,1500.0,1500.0
26,26,26,26,26,26,"Fri, Oct 21, 2022",Phoenix Suns,265,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,16,29,111,Portland Trail Blazers,265,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,18,19,113,0,0.0257630960650818,-0.0257630960650817,0.40625,0.2571428571428571,0.5,0.5106382978723404,0.6283362989323843,0.5627661731900223,1,1500,1500.0,1500.0
27,27,27,27,27,27,"Sat, Oct 22, 2022",San Antonio Spurs,240,43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,114,Philadelphia 76ers,240,37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,105,1,-0.118644496498619,0.1186444964986189,0.3870967741935484,0.4285714285714285,0.5,0.5730337078651685,0.5822981366459627,0.6175514626218852,0,1500,1496.5,1503.5
28,28,28,28,28,28,"Sat, Oct 22, 2022",Detroit Pistons,240,37,95,0.389,18,42,0.429,23,30,0.767,17,36,53,26,5,3,13,20,115,Indiana Pacers,240,45,103,0.437,16,42,0.381,18,24,0.75,20,39,59,28,7,15,11,21,124,0,0.1087062594424999,-0.1087062594425,0.5555555555555556,0.4358974358974359,0.5145631067961165,0.4842105263157895,0.5725895825637237,0.5659448818897638,1,1500,1503.348986668642,1481.651013331358
29,29,29,29,29,29,"Sat, Oct 22, 2022",Boston Celtics,240,42,87,0.483,19,47,0.404,23,28,0.821,7,30,37,24,5,6,8,21,126,Orlando Magic,240,45,95,0.474,15,34,0.441,15,23,0.652,12,36,48,21,5,7,9,24,120,1,-0.070389327891398,0.070389327891398,0.4,0.1944444444444444,0.5526315789473685,0.5919540229885057,0.5996402158704777,0.6762559038213826,0,1500,1489.1107748968532,1506.8892251031468
30,30,30,30,30,30,"Sat, Oct 22, 2022",Cleveland Cavaliers,240,48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,17,17,128,Chicago Bulls,240,34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,96,1,-0.4150374992788438,0.4150374992788437,0.25,0.32,0.4464285714285714,0.6588235294117647,0.5363128491620112,0.7194244604316548,0,1500,1485.0,1515.0
31,31,31,31,31,31,"Sat, Oct 22, 2022",Toronto Raptors,240,37,87,0.425,14,39,0.359,21,28,0.75,8,29,37,24,9,5,6,25,109,Miami Heat,240,38,76,0.5,11,30,0.367,25,27,0.926,6,38,44,28,2,2,15,26,112,0,0.0391705972806778,-0.0391705972806777,0.2068965517241379,0.2105263157894736,0.5723684210526315,0.5057471264367817,0.6834268977300464,0.5850150279089739,1,1500,1496.5,1500.0
32,32,32,32,32,32,"Sat, Oct 22, 2022",Houston Rockets,240,36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,12,22,105,Milwaukee Bucks,240,48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,125,0,0.2515387669959644,-0.2515387669959644,0.25,0.3846153846153846,0.6588235294117647,0.4731182795698925,0.6973889756750725,0.5365903515944399,1,1500,1514.8488979645986,1481.6511020354014
33,33,33,33,33,33,"Sat, Oct 22, 2022",Memphis Grizzlies,240,34,79,0.43,9,33,0.273,19,24,0.792,6,23,29,20,4,8,17,29,96,Dallas Mavericks,240,45,90,0.5,17,39,0.436,30,36,0.833,15,37,52,23,7,7,15,24,137,0,0.5130695822393705,-0.5130695822393705,0.6521739130434783,0.1621621621621621,0.5944444444444444,0.4873417721518987,0.6995506535947712,0.5695301376364499,1,1500,1515.1511020354014,1488.3488979645986
34,34,34,34,34,34,"Sat, Oct 22, 2022",Oklahoma City Thunder,240,42,94,0.447,15,38,0.395,18,23,0.783,10,37,47,29,10,5,12,27,117,Denver Nuggets,240,42,85,0.494,20,38,0.526,18,31,0.581,9,37,46,33,5,6,18,21,122,0,0.0603726179794818,-0.0603726179794818,0.2432432432432432,0.2702702702702703,0.611764705882353,0.526595744680851,0.6643432803310826,0.5905511811023622,1,1500,1500.0,1500.0
35,35,35,35,35,35,"Sat, Oct 22, 2022",Los Angeles Clippers,240,41,81,0.506,9,22,0.409,20,22,0.909,5,35,40,24,8,3,13,21,111,Sacramento Kings,240,40,85,0.471,14,35,0.4,15,26,0.577,9,30,39,24,5,5,12,21,109,1,-0.0262315415731796,0.0262315415731794,0.2571428571428571,0.1666666666666666,0.5529411764705883,0.5617283950617284,0.6007495590828924,0.646551724137931,0,1500,1500.0,1500.0
36,36,36,36,36,36,"Sun, Oct 23, 2022",Portland Trail Blazers,240,37,84,0.44,10,27,0.37,22,27,0.815,13,39,52,19,6,5,19,20,106,Los Angeles Lakers,240,41,92,0.446,6,33,0.182,16,20,0.8,10,30,40,26,9,9,13,24,104,1,-0.027480736422107,0.0274807364221069,0.2564102564102564,0.4333333333333333,0.4782608695652174,0.5,0.5394190871369294,0.5892817433844786,0,1500,1496.5,1500.0
37,37,37,37,37,37,"Sun, Oct 23, 2022",Charlotte Hornets,240,47,90,0.522,11,26,0.423,21,30,0.7,14,38,52,28,7,6,13,24,126,Atlanta Hawks,240,39,95,0.411,8,35,0.229,23,28,0.821,16,29,45,23,8,9,12,21,109,1,-0.20909559872299,0.20909559872299,0.4210526315789473,0.4827586206896552,0.4526315789473684,0.5833333333333334,0.5387504942665086,0.6521739130434783,0,1500,1491.8528000084657,1508.1471999915343
38,38,38,38,38,38,"Sun, Oct 23, 2022",Washington Wizards,265,43,87,0.494,12,28,0.429,9,15,0.6,4,31,35,25,9,4,18,24,107,Cleveland Cavaliers,265,41,96,0.427,13,33,0.394,22,25,0.88,16,32,48,19,10,5,13,20,117,0,0.1288977331822575,-0.1288977331822576,0.5161290322580645,0.125,0.4947916666666667,0.5632183908045977,0.5763546798029556,0.5924695459579181,1,1500,1522.1764000042328,1492.8235999957672
