Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Sat, Nov 26, 2022",9:00p,Utah Jazz,112,Phoenix Suns,113,Footprint Center
"Sun, Nov 27, 2022",3:00p,Portland Trail Blazers,97,Brooklyn Nets,111,Barclays Center
"Sun, Nov 27, 2022",3:30p,Golden State Warriors,137,Minnesota Timberwolves,114,Target Center
"Sun, Nov 27, 2022",4:00p,Indiana Pacers,100,Los Angeles Clippers,114,Crypto.com Arena
"Sun, Nov 27, 2022",5:00p,Miami Heat,106,Atlanta Hawks,98,State Farm Arena
"Sun, Nov 27, 2022",6:00p,Washington Wizards,121,Boston Celtics,130,TD Garden
"Sun, Nov 27, 2022",6:00p,Cleveland Cavaliers,102,Detroit Pistons,94,Little Caesars Arena
"Sun, Nov 27, 2022",6:00p,Memphis Grizzlies,127,New York Knicks,123,Madison Square Garden (IV)
"Sun, Nov 27, 2022",6:00p,Philadelphia 76ers,133,Orlando Magic,103,Amway Center
"Sun, Nov 27, 2022",8:00p,Dallas Mavericks,115,Milwaukee Bucks,124,Fiserv Forum
"Mon, Nov 28, 2022",7:00p,Atlanta Hawks,101,Philadelphia 76ers,104,Wells Fargo Center
"Mon, Nov 28, 2022",7:00p,Minnesota Timberwolves,127,Washington Wizards,142,Capital One Arena
"Mon, Nov 28, 2022",7:30p,Charlotte Hornets,105,Boston Celtics,140,TD Garden
"Mon, Nov 28, 2022",7:30p,Orlando Magic,102,Brooklyn Nets,109,Barclays Center
"Mon, Nov 28, 2022",7:30p,Cleveland Cavaliers,88,Toronto Raptors,100,Scotiabank Arena
"Mon, Nov 28, 2022",8:00p,Oklahoma City Thunder,101,New Orleans Pelicans,105,Smoothie King Center
"Mon, Nov 28, 2022",9:00p,Houston Rockets,113,Denver Nuggets,129,Ball Arena
"Mon, Nov 28, 2022",9:00p,Chicago Bulls,114,Utah Jazz,107,Vivint Arena
"Mon, Nov 28, 2022",10:00p,Phoenix Suns,122,Sacramento Kings,117,Golden 1 Center
"Mon, Nov 28, 2022",10:30p,Indiana Pacers,116,Los Angeles Lakers,115,Crypto.com Arena
"Tue, Nov 29, 2022",7:00p,New York Knicks,140,Detroit Pistons,110,Little Caesars Arena
"Tue, Nov 29, 2022",7:30p,Golden State Warriors,113,Dallas Mavericks,116,American Airlines Center
"Tue, Nov 29, 2022",10:00p,Los Angeles Clippers,118,Portland Trail Blazers,112,Moda Center
"Wed, Nov 30, 2022",7:00p,Philadelphia 76ers,85,Cleveland Cavaliers,113,Rocket Mortgage Fieldhouse
"Wed, Nov 30, 2022",7:00p,Atlanta Hawks,125,Orlando Magic,108,Amway Center
"Wed, Nov 30, 2022",7:30p,Miami Heat,121,Boston Celtics,134,TD Garden
"Wed, Nov 30, 2022",7:30p,Washington Wizards,107,Brooklyn Nets,113,Barclays Center
"Wed, Nov 30, 2022",7:30p,Milwaukee Bucks,109,New York Knicks,103,Madison Square Garden (IV)
"Wed, Nov 30, 2022",8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,109,Target Center
"Wed, Nov 30, 2022",8:00p,Toronto Raptors,108,New Orleans Pelicans,126,Smoothie King Center
"Wed, Nov 30, 2022",8:00p,San Antonio Spurs,111,Oklahoma City Thunder,119,Paycom Center
"Wed, Nov 30, 2022",9:00p,Houston Rockets,100,Denver Nuggets,120,Ball Arena
"Wed, Nov 30, 2022",9:00p,Chicago Bulls,113,Phoenix Suns,132,Footprint Center
"Wed, Nov 30, 2022",9:00p,Los Angeles Clippers,112,Utah Jazz,125,Vivint Arena
"Wed, Nov 30, 2022",10:00p,Indiana Pacers,114,Sacramento Kings,137,Golden 1 Center
"Wed, Nov 30, 2022",10:30p,Portland Trail Blazers,109,Los Angeles Lakers,128,Crypto.com Arena
