Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Wed, Apr 14, 2021",7:30p,San Antonio Spurs,112,Toronto Raptors,117
"Wed, Apr 14, 2021",8:00p,Orlando Magic,115,Chicago Bulls,106
"Wed, Apr 14, 2021",8:00p,Los Angeles Clippers,100,Detroit Pistons,98
"Wed, Apr 14, 2021",8:00p,New York Knicks,116,New Orleans Pelicans,106
"Wed, Apr 14, 2021",9:00p,Indiana Pacers,132,Houston Rockets,124
"Wed, Apr 14, 2021",9:00p,Golden State Warriors,147,Oklahoma City Thunder,109
"Wed, Apr 14, 2021",9:30p,Dallas Mavericks,114,Memphis Grizzlies,113
"Wed, Apr 14, 2021",10:00p,Miami Heat,106,Denver Nuggets,123
"Wed, Apr 14, 2021",10:00p,Washington Wizards,123,Sacramento Kings,111
"Thu, Apr 15, 2021",7:30p,Milwaukee Bucks,120,Atlanta Hawks,109
"Thu, Apr 15, 2021",8:00p,Golden State Warriors,119,Cleveland Cavaliers,101
"Thu, Apr 15, 2021",10:00p,Boston Celtics,121,Los Angeles Lakers,113
"Thu, Apr 15, 2021",10:00p,Sacramento Kings,114,Phoenix Suns,122
"Fri, Apr 16, 2021",3:00p,Indiana Pacers,111,Utah Jazz,119
"Fri, Apr 16, 2021",7:00p,Oklahoma City Thunder,104,Detroit Pistons,110
"Fri, Apr 16, 2021",7:00p,Los Angeles Clippers,103,Philadelphia 76ers,106
"Fri, Apr 16, 2021",7:00p,New Orleans Pelicans,115,Washington Wizards,117
"Fri, Apr 16, 2021",7:30p,Charlotte Hornets,115,Brooklyn Nets,130
"Fri, Apr 16, 2021",7:30p,Orlando Magic,102,Toronto Raptors,113
"Fri, Apr 16, 2021",8:00p,Memphis Grizzlies,126,Chicago Bulls,115
"Fri, Apr 16, 2021",8:00p,Denver Nuggets,128,Houston Rockets,99
"Fri, Apr 16, 2021",8:00p,Miami Heat,111,Minnesota Timberwolves,119
"Fri, Apr 16, 2021",8:30p,Portland Trail Blazers,107,San Antonio Spurs,106
"Fri, Apr 16, 2021",9:30p,New York Knicks,117,Dallas Mavericks,109
"Sat, Apr 17, 2021",4:30p,Utah Jazz,115,Los Angeles Lakers,127
"Sat, Apr 17, 2021",8:00p,Cleveland Cavaliers,96,Chicago Bulls,106
"Sat, Apr 17, 2021",8:00p,Detroit Pistons,100,Washington Wizards,121
"Sat, Apr 17, 2021",8:30p,Golden State Warriors,114,Boston Celtics,119
"Sat, Apr 17, 2021",9:00p,Memphis Grizzlies,128,Milwaukee Bucks,115
"Sat, Apr 17, 2021",10:00p,San Antonio Spurs,111,Phoenix Suns,85
"Sun, Apr 18, 2021",1:00p,Indiana Pacers,117,Atlanta Hawks,129
"Sun, Apr 18, 2021",1:00p,New Orleans Pelicans,112,New York Knicks,122
"Sun, Apr 18, 2021",3:30p,Brooklyn Nets,107,Miami Heat,109
"Sun, Apr 18, 2021",7:00p,Portland Trail Blazers,101,Charlotte Hornets,109
"Sun, Apr 18, 2021",7:00p,Houston Rockets,114,Orlando Magic,110
