FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
37.0,0.47133,0.41667,0.75267,105.66667,0.07353,0.54995,0.62865,41.33333,0.50267,0.42533,0.73233,113.0,0.01549,0.5733,0.6433,0.66667,0
41.0,0.43267,0.34867,0.77367,114.66667,-0.02639,0.48529,0.56659,35.66667,0.42967,0.39033,0.72867,105.0,-0.03231,0.5254,0.59382,0.66667,0
32.0,0.39533,0.308,0.77967,93.0,-0.26214,0.45169,0.53655,39.66667,0.47233,0.30033,0.76867,105.33333,0.02991,0.51363,0.5882,0.66667,0
41.66667,0.463,0.28767,0.66333,104.0,-0.14105,0.50058,0.5526,32.66667,0.37767,0.358,0.81767,94.66667,-0.07228,0.43874,0.5176,0.66667,1
34.66667,0.429,0.34567,0.765,91.0,-0.10199,0.49256,0.54093,36.66667,0.40833,0.32133,0.88367,104.33333,-0.03255,0.46215,0.54729,0.66667,1
33.33333,0.39333,0.25367,0.80733,97.33333,-0.15115,0.4329,0.53575,40.66667,0.46,0.314,0.737,108.0,-0.08344,0.51463,0.58096,0.66667,1
37.0,0.45067,0.353,0.75367,107.0,-0.02942,0.4977,0.59577,35.33333,0.411,0.39167,0.71233,101.33333,0.08823,0.49248,0.55615,0.66667,0
33.66667,0.405,0.32767,0.77533,104.66667,-0.07685,0.48876,0.58122,37.0,0.432,0.392,0.724,103.33333,0.12766,0.50996,0.57113,0.33333,0
42.66667,0.45833,0.31033,0.79333,116.66667,-0.00173,0.50637,0.58725,36.66667,0.452,0.36767,0.72833,103.33333,0.04294,0.51747,0.59395,0.66667,0
37.66667,0.40433,0.30067,0.78533,98.66667,-0.07696,0.45603,0.50885,37.33333,0.45367,0.39667,0.70933,105.0,-0.11694,0.51436,0.59277,0.66667,0
43.0,0.50033,0.417,0.76733,112.0,0.24575,0.57781,0.6257,35.66667,0.41167,0.35967,0.814,102.66667,-0.13169,0.48378,0.56063,0.66667,0
40.66667,0.513,0.446,0.80933,111.66667,0.2276,0.59482,0.66448,43.33333,0.51633,0.418,0.83167,121.0,0.03777,0.57802,0.67074,0.33333,1
37.0,0.429,0.369,0.77133,99.0,-0.12555,0.49335,0.54902,37.33333,0.435,0.31433,0.748,103.0,-0.14036,0.50535,0.56873,0.33333,1
40.66667,0.50933,0.41,0.81233,112.66667,0.1373,0.57406,0.65823,36.0,0.427,0.32333,0.69067,92.0,-0.25024,0.4722,0.52044,1.0,0
40.66667,0.43633,0.334,0.67833,107.66667,0.12363,0.47904,0.54572,42.66667,0.50367,0.40333,0.60167,110.66667,0.00057,0.5907,0.6251,0.66667,0
35.66667,0.41533,0.35933,0.825,96.33333,-0.12817,0.47811,0.53719,43.66667,0.48333,0.44933,0.81167,117.66667,0.06391,0.54497,0.6155,0.33333,1
36.33333,0.424,0.32633,0.831,106.33333,0.09279,0.47642,0.57579,37.66667,0.432,0.37533,0.81833,109.0,0.01094,0.50881,0.5872,0.66667,0
37.66667,0.44133,0.32067,0.78033,107.33333,-0.02867,0.50899,0.59034,41.33333,0.455,0.41567,0.805,114.33333,0.02797,0.55158,0.60397,0.66667,1
37.66667,0.45333,0.39767,0.74833,99.66667,-0.06172,0.5235,0.57413,40.0,0.47667,0.331,0.599,98.66667,-0.09709,0.52474,0.56259,0.66667,0
37.66667,0.47167,0.39567,0.823,106.66667,0.12138,0.53626,0.62294,39.0,0.45233,0.362,0.69,100.66667,0.3047,0.51813,0.56102,0.0,0
43.33333,0.50667,0.37833,0.74433,120.66667,0.08095,0.58561,0.66159,37.33333,0.452,0.36167,0.71667,101.66667,-0.01038,0.5239,0.58415,0.33333,1
38.66667,0.428,0.32267,0.662,104.66667,0.12315,0.49088,0.54881,44.33333,0.49767,0.53133,0.80833,116.66667,0.12943,0.58405,0.63095,0.33333,1
39.0,0.44067,0.40567,0.86333,109.0,-0.05118,0.51413,0.58387,38.0,0.45233,0.339,0.65067,99.33333,0.00532,0.51105,0.56369,0.33333,0
39.0,0.46633,0.409,0.75433,102.33333,0.01669,0.53981,0.58732,36.0,0.46667,0.375,0.76967,101.0,0.01862,0.52886,0.60967,0.66667,0
