Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Thu, Dec 14, 2017",7:30p,Detroit Pistons,105,Atlanta Hawks,91
"Thu, Dec 14, 2017",7:30p,New York Knicks,111,Brooklyn Nets,104
"Thu, Dec 14, 2017",8:00p,Los Angeles Lakers,112,Cleveland Cavaliers,121
"Thu, Dec 14, 2017",8:00p,Sacramento Kings,96,Minnesota Timberwolves,119
"Thu, Dec 14, 2017",10:30p,Dallas Mavericks,97,Golden State Warriors,112
"Fri, Dec 15, 2017",7:00p,Miami Heat,104,Charlotte Hornets,98
"Fri, Dec 15, 2017",7:00p,Detroit Pistons,104,Indiana Pacers,98
"Fri, Dec 15, 2017",7:00p,Portland Trail Blazers,95,Orlando Magic,88
"Fri, Dec 15, 2017",7:00p,Oklahoma City Thunder,119,Philadelphia 76ers,117
"Fri, Dec 15, 2017",7:00p,Los Angeles Clippers,91,Washington Wizards,100
"Fri, Dec 15, 2017",7:30p,Utah Jazz,107,Boston Celtics,95
"Fri, Dec 15, 2017",7:30p,Brooklyn Nets,87,Toronto Raptors,120
"Fri, Dec 15, 2017",8:00p,Atlanta Hawks,94,Memphis Grizzlies,96
"Fri, Dec 15, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,109
"Fri, Dec 15, 2017",9:00p,New Orleans Pelicans,111,Denver Nuggets,117
"Fri, Dec 15, 2017",9:30p,San Antonio Spurs,109,Houston Rockets,124
"Sat, Dec 16, 2017",7:00p,Portland Trail Blazers,93,Charlotte Hornets,91
"Sat, Dec 16, 2017",7:30p,Utah Jazz,100,Cleveland Cavaliers,109
"Sat, Dec 16, 2017",7:30p,Oklahoma City Thunder,96,New York Knicks,111
"Sat, Dec 16, 2017",8:00p,Milwaukee Bucks,111,Houston Rockets,115
"Sat, Dec 16, 2017",8:00p,Los Angeles Clippers,85,Miami Heat,90
"Sat, Dec 16, 2017",8:00p,Phoenix Suns,108,Minnesota Timberwolves,106
"Sat, Dec 16, 2017",8:30p,Dallas Mavericks,96,San Antonio Spurs,98
"Sat, Dec 16, 2017",9:00p,Boston Celtics,102,Memphis Grizzlies,93
