,season,Team_away,index_sspg,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Team_home,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,index,Elo_pregame_away,Elo_pregame_home,Winner
11,2023,Dallas Mavericks,65,41.0,0.503,0.40399999999999997,0.7395,9.0,28.0,37.0,21.5,8.0,14.0,120.0,0.0098399373480427,0.359375,0.6014001806684733,0.6815273731886491,0.5,Brooklyn Nets,40.5,0.4685,0.357,0.7949999999999999,13.0,31.5,44.5,23.0,6.5,13.0,117.0,0.004247918174818351,0.4136363636363636,0.5415658602150537,0.6292215632616133,65,1515.1511020354014,1485.2357650037134,1
12,2023,Denver Nuggets,25,43.0,0.5085,0.334,0.8919999999999999,11.0,27.0,38.0,25.5,10.0,20.5,115.0,-0.10630183435349205,0.37053571428571425,0.5670706080134491,0.6429650464254655,0.5,Golden State Warriors,43.5,0.46599999999999997,0.34850000000000003,0.8140000000000001,9.0,32.5,41.5,32.5,10.5,18.0,123.0,0.05842234295077665,0.2617152961980548,0.5489267676767677,0.6228391924853298,25,1500.0,1500.0,1
13,2023,Denver Nuggets,50,45.5,0.515,0.41400000000000003,0.7055,11.0,28.5,39.5,29.0,7.0,14.0,119.0,-0.11898519443270555,0.35317460317460314,0.5912662918476872,0.6420311977249916,0.5,Portland Trail Blazers,42.0,0.5085,0.401,0.8015,11.0,35.5,46.5,18.5,5.5,13.0,124.0,0.16060948979562656,0.3638392857142857,0.5873493975903614,0.6899196524722042,50,1485.0,1515.0,0
14,2023,Denver Nuggets,94,43.0,0.46099999999999997,0.381,0.6465,11.5,31.5,43.0,26.0,3.5,8.5,110.0,-0.2164797036380531,0.30994152046783624,0.5328239468864469,0.5674144657863145,1.0,Los Angeles Lakers,43.5,0.4625,0.3075,0.8,11.5,34.0,45.5,25.0,7.0,10.5,112.5,0.055011393663914,0.3139194139194139,0.5125679347826088,0.5710043642855962,94,1500.2060920926533,1493.438015115436,0
15,2023,Detroit Pistons,28,38.0,0.41100000000000003,0.3395,0.6805,15.0,36.0,51.0,26.0,5.5,14.0,110.5,-0.20157680895387767,0.3846153846153846,0.4837719298245614,0.5560557055780229,1.0,Indiana Pacers,48.0,0.4635,0.34750000000000003,0.8525,17.0,33.5,50.5,30.0,7.5,13.5,129.0,0.03838168346987285,0.5111111111111111,0.5289161687826736,0.5940860444975913,28,1481.651013331358,1503.348986668642,0
16,2023,Detroit Pistons,51,36.5,0.399,0.3575,0.7635000000000001,14.0,33.0,47.0,19.0,5.5,13.0,107.0,-0.19312011748570446,0.3626855600539811,0.469377990430622,0.5476783232978231,1.0,Washington Wizards,42.5,0.5155000000000001,0.344,0.8775,7.0,36.0,43.0,26.0,7.5,13.5,111.0,0.1530515638628399,0.23928571428571424,0.575735294117647,0.640078755220711,51,1467.1332064729377,1507.3414068541874,0
17,2023,Detroit Pistons,99,38.5,0.4275,0.281,0.8085,12.0,30.0,42.0,15.5,7.5,12.5,103.5,-0.15200309344504995,0.32529239766081874,0.4718379446640316,0.5441511317837009,1.0,Milwaukee Bucks,41.5,0.46299999999999997,0.332,0.724,14.0,35.5,49.5,22.0,6.5,13.5,116.5,0.0617483328780279,0.4666666666666667,0.532608695652174,0.6070591385107842,99,1461.492898797676,1532.6263174404426,0
18,2023,Golden State Warriors,81,42.5,0.4455,0.2905,0.7575000000000001,10.0,34.5,44.5,29.5,7.5,11.5,109.0,-0.21927765299249025,0.27205882352941174,0.5052472527472527,0.5499682242688768,1.0,Charlotte Hornets,43.5,0.438,0.35250000000000004,0.78,13.0,33.0,46.0,31.0,5.5,11.5,116.0,-0.0300648775679701,0.33704453441295545,0.4956033959975743,0.5554607958551373,81,1490.1309606189695,1495.262270011502,0
19,2023,Golden State Warriors,90,41.5,0.432,0.3015,0.855,11.5,34.0,45.5,27.0,8.0,12.0,113.5,-0.12691080951429456,0.3107142857142857,0.4970652173913044,0.5652018190464867,1.0,Detroit Pistons,38.5,0.45599999999999996,0.3215,0.8554999999999999,13.0,31.5,44.5,21.0,3.0,12.5,120.0,-0.05649896667873855,0.4068965517241379,0.5185976463995516,0.6469986020672774,90,1481.8367017520677,1461.492898797676,0
20,2023,Houston Rockets,62,36.0,0.385,0.35350000000000004,0.7615000000000001,14.5,33.5,48.0,19.5,8.0,15.5,103.0,-0.180755804510548,0.3589743589743589,0.45730382063601005,0.5226263603258259,1.0,Utah Jazz,40.0,0.46399999999999997,0.355,0.7045,11.0,37.0,48.0,27.5,10.5,17.0,116.0,0.19003100269643794,0.3771428571428571,0.5484270414993306,0.6244424667139663,62,1482.0159871111937,1503.1351149242078,0
