Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, Jan 27, 2020",8:00p,Sacramento Kings,133,Minnesota Timberwolves,129
"Mon, Jan 27, 2020",8:00p,Dallas Mavericks,107,Oklahoma City Thunder,97
"Mon, Jan 27, 2020",9:00p,Houston Rockets,126,Utah Jazz,117
"Tue, Jan 28, 2020",7:00p,New York Knicks,92,Charlotte Hornets,97
"Tue, Jan 28, 2020",7:00p,Golden State Warriors,104,Philadelphia 76ers,115
"Tue, Jan 28, 2020",7:30p,New Orleans Pelicans,125,Cleveland Cavaliers,111
"Tue, Jan 28, 2020",7:30p,Atlanta Hawks,114,Toronto Raptors,130
"Tue, Jan 28, 2020",8:00p,Denver Nuggets,96,Memphis Grizzlies,104
"Tue, Jan 28, 2020",8:00p,Boston Celtics,109,Miami Heat,101
"Tue, Jan 28, 2020",8:00p,Washington Wizards,131,Milwaukee Bucks,151
"Tue, Jan 28, 2020",8:30p,Phoenix Suns,133,Dallas Mavericks,104
"Wed, Jan 29, 2020",7:00p,Chicago Bulls,106,Indiana Pacers,115
"Wed, Jan 29, 2020",7:30p,Detroit Pistons,115,Brooklyn Nets,125
"Wed, Jan 29, 2020",7:30p,Memphis Grizzlies,127,New York Knicks,106
"Wed, Jan 29, 2020",8:30p,Utah Jazz,120,San Antonio Spurs,127
"Wed, Jan 29, 2020",10:00p,Houston Rockets,112,Portland Trail Blazers,125
"Wed, Jan 29, 2020",10:00p,Oklahoma City Thunder,120,Sacramento Kings,100
"Thu, Jan 30, 2020",7:00p,Toronto Raptors,115,Cleveland Cavaliers,109
"Thu, Jan 30, 2020",7:00p,Charlotte Hornets,107,Washington Wizards,121
"Thu, Jan 30, 2020",7:30p,Philadelphia 76ers,117,Atlanta Hawks,127
"Thu, Jan 30, 2020",8:00p,Golden State Warriors,104,Boston Celtics,119
"Thu, Jan 30, 2020",10:30p,Utah Jazz,100,Denver Nuggets,106
"Thu, Jan 30, 2020",10:30p,Sacramento Kings,124,Los Angeles Clippers,103
"Fri, Jan 31, 2020",7:00p,Toronto Raptors,105,Detroit Pistons,92
"Fri, Jan 31, 2020",7:30p,Chicago Bulls,118,Brooklyn Nets,133
"Fri, Jan 31, 2020",7:30p,Dallas Mavericks,121,Houston Rockets,128
"Fri, Jan 31, 2020",8:00p,Memphis Grizzlies,111,New Orleans Pelicans,139
"Fri, Jan 31, 2020",9:00p,Denver Nuggets,127,Milwaukee Bucks,115
"Fri, Jan 31, 2020",9:00p,Oklahoma City Thunder,111,Phoenix Suns,107
"Fri, Jan 31, 2020",10:30p,Portland Trail Blazers,127,Los Angeles Lakers,119
