Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Aug 25, 2020",6:30p,Utah Jazz,107,Denver Nuggets,117
"Tue, Aug 25, 2020",9:00p,Dallas Mavericks,111,Los Angeles Clippers,154
"Sat, Aug 29, 2020",3:30p,Orlando Magic,104,Milwaukee Bucks,118
"Sat, Aug 29, 2020",6:30p,Oklahoma City Thunder,80,Houston Rockets,114
"Sat, Aug 29, 2020",9:00p,Portland Trail Blazers,122,Los Angeles Lakers,131
"Sun, Aug 30, 2020",1:00p,Boston Celtics,112,Toronto Raptors,94
"Sun, Aug 30, 2020",3:30p,Los Angeles Clippers,111,Dallas Mavericks,97
"Sun, Aug 30, 2020",8:30p,Denver Nuggets,119,Utah Jazz,107
"Mon, Aug 31, 2020",6:30p,Miami Heat,115,Milwaukee Bucks,104
"Mon, Aug 31, 2020",9:00p,Houston Rockets,100,Oklahoma City Thunder,104
