Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,OddsAway,OddsHome,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
"Fri, Oct 25, 2019",Phoenix Suns,265,34,86,0.395,8,28,0.286,31,32,0.969,10,44,54,25,5,1,17,35,107,Denver Nuggets,265,36,92,0.391,7,27,0.259,29,36,0.806,8,37,45,21,7,12,14,26,108,0,0.01342051576232144,-0.013420515762321656,0.18181818181818182,0.2702702702702703,0.42934782608695654,0.4418604651162791,0.5404323458767013,0.5750214961306964,7.5,1.1,1503.5,1515.0,0.5165437890740773,0.48345621092592267,1.9359442919496426,2.068439658857179,1
"Fri, Oct 25, 2019",Portland Trail Blazers,240,46,85,0.541,11,30,0.367,19,22,0.864,5,35,40,23,8,5,16,23,122,Sacramento Kings,240,37,87,0.425,15,37,0.405,23,27,0.852,13,30,43,17,10,2,17,26,112,1,-0.12338241550528214,0.12338241550528205,0.37142857142857144,0.16666666666666666,0.5114942528735632,0.6058823529411764,0.6025392726490209,0.6789848619768477,1.83,2.0,1477.748156836111,1503.751843163889,0.5165437890740773,0.48345621092592267,1.9359442919496426,2.068439658857179,0
"Fri, Oct 25, 2019",Utah Jazz,240,29,70,0.414,8,25,0.32,20,21,0.952,3,37,40,19,8,2,22,25,86,Los Angeles Lakers,240,34,86,0.395,8,26,0.308,19,24,0.792,11,31,42,19,14,9,14,21,95,0,0.14359085362884985,-0.14359085362884985,0.2972972972972973,0.0967741935483871,0.4418604651162791,0.4714285714285714,0.5203768624014022,0.5762530152774055,2.4,1.62,1496.0755418398865,1496.4244581601135,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,1
"Sat, Oct 26, 2019",Miami Heat,265,46,101,0.455,16,44,0.364,23,36,0.639,8,46,54,33,7,3,16,30,131,Milwaukee Bucks,265,41,94,0.436,17,54,0.315,27,35,0.771,5,42,47,22,8,4,18,32,126,1,-0.05614307803753374,0.05614307803753392,0.10869565217391304,0.19047619047619047,0.526595744680851,0.5346534653465347,0.6194690265486725,0.6013587954461991,6.5,1.12,1503.5,1515.0,0.5165437890740773,0.48345621092592267,1.9359442919496426,2.068439658857179,0
"Sat, Oct 26, 2019",Philadelphia 76ers,240,42,87,0.483,13,34,0.382,20,30,0.667,6,32,38,30,14,3,22,26,117,Detroit Pistons,240,41,76,0.539,8,19,0.421,21,36,0.583,5,30,35,20,11,7,23,28,111,1,-0.07594885323329863,0.07594885323329842,0.15625,0.2,0.5921052631578947,0.5574712643678161,0.6613441372735939,0.625,1.53,2.6,1485.0416273694996,1510.807270595099,0.5275327721287042,0.47246722787129586,1.8956168276802832,2.1165489181239225,0
"Sat, Oct 26, 2019",Orlando Magic,240,35,99,0.354,5,31,0.161,24,26,0.923,17,29,46,15,8,7,10,15,99,Atlanta Hawks,240,43,84,0.512,9,30,0.3,8,15,0.533,9,43,52,22,5,9,18,26,103,0,0.05714390710360882,-0.05714390710360873,0.3103448275862069,0.3953488372093023,0.5654761904761905,0.3787878787878788,0.5899198167239404,0.4726890756302521,1.74,2.15,1515.1511020354014,1503.5,0.483238998821639,0.516761001178361,2.0693694061084975,1.9351305491701534,1
"Sat, Oct 26, 2019",Boston Celtics,240,42,93,0.452,15,41,0.366,19,29,0.655,13,33,46,24,14,9,12,26,118,New York Knicks,240,31,82,0.378,7,27,0.259,26,34,0.765,16,39,55,15,7,4,23,26,95,1,-0.31278744103089345,0.3127874410308935,0.48484848484848486,0.3333333333333333,0.42073170731707316,0.532258064516129,0.5308448815377738,0.5936808210907628,1.42,2.9,1481.4831958085238,1511.1275790883294,0.4994398602841271,0.500560139715873,2.002243071730615,1.9977619483797056,0
"Sat, Oct 26, 2019",Toronto Raptors,240,38,82,0.463,15,42,0.357,17,18,0.944,10,49,59,27,9,12,22,25,108,Chicago Bulls,240,29,97,0.299,9,35,0.257,17,25,0.68,12,33,45,18,9,2,15,22,84,1,-0.36257007938470825,0.36257007938470837,0.24489795918367346,0.30303030303030304,0.34536082474226804,0.5548780487804879,0.4097560975609756,0.6281991624011168,1.65,2.35,1488.199621691839,1515.03859007995,0.4950211674398976,0.5049788325601023,2.020115634997394,1.980281024712022,0
"Sat, Oct 26, 2019",Indiana Pacers,240,39,87,0.448,10,28,0.357,11,13,0.846,6,30,36,23,7,3,17,27,99,Cleveland Cavaliers,240,40,80,0.5,11,31,0.355,19,29,0.655,12,32,44,23,9,7,18,20,110,0,0.15200309344505006,-0.15200309344504995,0.4,0.1875,0.56875,0.5057471264367817,0.6367214633016902,0.5508568884932117,1.53,2.6,1504.0,1489.0,0.5,0.5,2.0,2.0,1
"Sat, Oct 26, 2019",New Orleans Pelicans,240,46,100,0.46,18,50,0.36,13,16,0.813,9,33,42,27,9,2,17,30,123,Houston Rockets,240,43,94,0.457,13,45,0.289,27,30,0.9,9,36,45,27,7,4,19,22,126,0,0.034765418160676624,-0.03476541816067664,0.2727272727272727,0.25,0.526595744680851,0.55,0.6262425447316103,0.5940880989180835,7.5,1.1,1496.5,1493.0705071284922,0.49506472331058665,0.5049352766894133,2.0199379049123527,1.9804518443560877,1
