Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
Philadelphia 76ers,240,32,82,0.39,8,24,0.333,22,36,0.611,8,33,41,18,5,4,20,26,94,Toronto Raptors,240,42,89,0.472,13,44,0.295,31,37,0.838,8,43,51,23,5,10,13,29,128,0,0.4454111483223626,-0.4454111483223626,0.24242424242424243,0.18604651162790697,0.5449438202247191,0.43902439024390244,0.6588429071443278,0.5226868327402135,1529.0267045112446,1478.3977444710547,0.4675568170414896,0.5324431829585105,2.138777499444015,1.878134666770488,1
San Antonio Spurs,240,38,93,0.409,1,12,0.083,10,16,0.625,14,38,52,25,8,3,11,14,87,Chicago Bulls,240,31,82,0.378,8,28,0.286,7,9,0.778,8,40,48,18,3,5,19,15,77,1,-0.1761569551538269,0.17615695515382698,0.21052631578947367,0.35,0.4268292682926829,0.41397849462365593,0.4584424863062634,0.4506837961044343,1477.8989776031972,1510.6010223968028,0.5265985068798065,0.4734014931201936,1.8989799381034802,2.112371875739113,0
Orlando Magic,240,40,90,0.444,17,35,0.486,17,20,0.85,12,38,50,28,7,6,12,28,114,Cleveland Cavaliers,240,33,86,0.384,7,25,0.28,20,27,0.741,11,33,44,15,4,7,16,14,93,1,-0.2937312030567103,0.2937312030567103,0.2894736842105263,0.36363636363636365,0.42441860465116277,0.5388888888888889,0.5057646291059387,0.6038135593220338,1499.6482720000506,1519.0028300353508,0.483238998821639,0.516761001178361,2.0693694061084975,1.9351305491701534,0
Dallas Mavericks,240,31,84,0.369,13,31,0.419,16,21,0.762,8,33,41,19,6,0,14,19,91,Houston Rockets,240,39,82,0.476,11,47,0.234,18,22,0.818,8,46,54,17,12,4,13,24,107,0,0.23367234620245073,-0.2336723462024507,0.24242424242424243,0.17391304347826086,0.5426829268292683,0.44642857142857145,0.6160755412252418,0.5134281200631912,1514.8488979645986,1481.6511020354014,0.49496326548662156,0.5050367345133784,2.020351952819879,1.9800539874857561,1
Golden State Warriors,240,33,84,0.393,12,38,0.316,23,27,0.852,12,34,46,20,10,7,17,28,101,Memphis Grizzlies,240,36,77,0.468,10,27,0.37,29,37,0.784,6,34,40,20,8,4,14,25,111,0,0.13620438359831133,-0.13620438359831116,0.17647058823529413,0.35294117647058826,0.5324675324675324,0.4642857142857143,0.6518675123326286,0.5614854347342673,1514.9120263923683,1496.0124317677453,0.49413509282455753,0.5058649071754424,2.023738071877946,1.9768123580337296,1
Indiana Pacers,240,43,96,0.448,7,19,0.368,15,21,0.714,13,32,45,18,9,4,10,18,108,Miami Heat,240,45,87,0.517,14,34,0.412,8,14,0.571,6,39,45,24,6,11,14,19,112,0,0.05246741989413548,-0.05246741989413554,0.1875,0.3333333333333333,0.5977011494252874,0.484375,0.6216696269982238,0.5366726296958855,1496.5,1488.9963136722224,0.48920300600806726,0.5107969939919328,2.04414115963856,1.957724911779323,1
Detroit Pistons,240,44,91,0.484,9,30,0.3,14,15,0.933,15,28,43,21,5,2,12,25,111,New York Knicks,240,37,81,0.457,8,30,0.267,25,31,0.806,12,27,39,20,6,2,12,21,107,1,-0.052948879948958964,0.05294887994895902,0.42857142857142855,0.5555555555555556,0.5061728395061729,0.532967032967033,0.6092006376679572,0.5885471898197243,1485.0,1507.5,0.5323349125434611,0.46766508745653895,1.8785166564072717,2.138282345254032,0
Portland Trail Blazers,240,34,81,0.42,11,28,0.393,31,35,0.886,13,29,42,18,10,6,16,22,110,Milwaukee Bucks,240,42,80,0.525,7,18,0.389,22,30,0.733,7,28,35,22,9,8,14,23,113,0,0.038819248890528193,-0.038819248890528166,0.2413793103448276,0.4642857142857143,0.56875,0.4876543209876543,0.6524249422632795,0.6200676437429538,1488.3488979645986,1529.5036863277776,0.5589510426680161,0.44104895733198396,1.7890654523636713,2.2673219908493865,1
Sacramento Kings,240,31,85,0.365,8,22,0.364,9,13,0.692,12,27,39,15,6,3,13,21,79,Denver Nuggets,240,37,85,0.435,10,30,0.333,12,20,0.6,18,40,58,25,7,2,16,19,96,0,0.2811817525440533,-0.2811817525440533,0.6666666666666666,0.3,0.49411764705882355,0.4117647058823529,0.5369127516778524,0.4495788754837241,1507.8237507423705,1484.6762492576295,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,1
Oklahoma City Thunder,240,32,78,0.41,11,33,0.333,12,19,0.632,8,30,38,15,14,4,17,16,87,Utah Jazz,240,38,77,0.494,9,29,0.31,11,14,0.786,7,34,41,22,11,4,18,21,96,0,0.14201900487242786,-0.14201900487242788,0.23333333333333334,0.23529411764705882,0.551948051948052,0.4807692307692308,0.5994005994005994,0.5293258700413725,1511.0755418398865,1511.4244581601135,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,1
Phoenix Suns,240,27,71,0.38,6,24,0.25,28,38,0.737,4,32,36,19,8,3,19,27,88,Los Angeles Clippers,240,48,88,0.545,12,26,0.462,22,30,0.733,10,42,52,26,12,2,12,32,130,0,0.5629361943911573,-0.5629361943911572,0.3125,0.09523809523809523,0.6136363636363636,0.4225352112676056,0.6871035940803383,0.5544354838709677,1528.7080052393337,1471.2919947606663,0.4569335079777882,0.5430664920222119,2.1885022274370183,1.8413951416451948,1
Atlanta Hawks,240,32,94,0.34,7,27,0.259,33,36,0.917,16,32,48,21,6,2,16,25,104,Brooklyn Nets,240,41,87,0.471,11,27,0.407,23,34,0.676,13,38,51,27,12,8,18,27,116,0,0.15754127698648002,-0.15754127698647993,0.40625,0.42105263157894735,0.5344827586206896,0.3776595744680851,0.6138865368331922,0.5102040816326531,1503.817094098921,1480.708156343137,0.48780627326139037,0.5121937267386095,2.0499941366357772,1.9523862706548438,1
Minnesota Timberwolves,240,43,86,0.5,10,25,0.4,19,23,0.826,10,35,45,25,5,1,17,17,115,Oklahoma City Thunder,240,46,96,0.479,11,31,0.355,10,16,0.625,9,27,36,26,9,6,11,22,113,1,-0.025311088529187526,0.02531108852918755,0.2571428571428571,0.37037037037037035,0.5364583333333334,0.5581395348837209,0.5677250803858521,0.6314517900285526,1511.4244581601135,1496.5,0.47853517902690074,0.5214648209730993,2.0897105245919345,1.9176749030431466,0
New Orleans Pelicans,240,47,83,0.566,10,32,0.313,15,21,0.714,6,36,42,26,14,5,18,20,119,Los Angeles Lakers,240,44,90,0.489,9,27,0.333,15,20,0.75,9,29,38,27,7,6,17,24,112,1,-0.08746284125033943,0.0874628412503394,0.25,0.20689655172413793,0.5388888888888889,0.6265060240963856,0.5932203389830508,0.6790687057749372,1481.541054350228,1492.5344874896584,0.5058649071754424,0.49413509282455753,1.9768123580337296,2.023738071877946,0
Philadelphia 76ers,240,35,75,0.467,9,24,0.375,18,24,0.75,8,41,49,25,11,0,21,24,97,Detroit Pistons,240,33,85,0.388,6,30,0.2,14,19,0.737,9,30,39,14,5,2,14,21,86,1,-0.1736480874850298,0.17364808748502975,0.21951219512195122,0.26666666666666666,0.4235294117647059,0.5266666666666666,0.4821708903341556,0.6041355256601894,1499.3732424576413,1486.5245020134134,0.45821616384274805,0.5417838361572519,2.1823760899521276,1.84575458561623,0
Atlanta Hawks,240,36,76,0.474,7,17,0.412,14,18,0.778,6,35,41,14,9,1,20,17,93,Miami Heat,240,39,85,0.459,14,37,0.378,12,18,0.667,10,31,41,21,12,6,19,19,104,0,0.16128090703306064,-0.1612809070330607,0.2857142857142857,0.1935483870967742,0.5411764705882353,0.5197368421052632,0.5845323741007195,0.5815407703851927,1503.6593402135024,1473.5488161296346,0.4772893475668315,0.5227106524331685,2.0951651343108533,1.9131043060727668,1
